match_id,team,line_up,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1,Argentina,4-3-1-2,23,26,13,19,3,24,5,20,7,10,9
1,Croatia,4-3-3,1,22,6,20,19,10,11,8,15,9,4
2,Pháp,4-2-3-1,1,5,4,24,22,8,13,11,7,10,9
2,Ma rốc,5-4-1,1,2,18,20,6,3,7,8,4,17,19
3,Croatia,4-4-2,1,2,24,20,4,7,8,10,18,9,14
3,Ma rốc,4-3-3,1,2,18,20,25,23,4,11,7,19,17
4,Argentina,4-3-1-2,23,26,13,19,3,7,24,20,11,10,9
4,Pháp,4-2-3-1,1,5,4,18,22,14,8,11,7,10,9
5,Argentina,4-3-1-2,23,26,13,19,3,7,24,20,11,10,9
5,Pháp,4-2-3-1,1,5,4,18,22,14,8,11,7,10,9
6,Qatar,5-3-2,1,2,15,16,3,14,10,12,6,11,19
6,Ecuador,4-3-3,1,17,2,3,7,19,20,23,11,13,10
7,ĐT Anh,4-2-3-1,1,12,5,6,3,22,4,17,19,10,9
7,Iran,5-4-1,1,2,8,15,19,5,7,21,18,3,9
8,Senegal,4-3-3,16,21,3,4,22,8,5,6,15,9,18
8,ĐT Hà Lan,3-4-1-2,23,3,4,5,22,17,11,21,8,18,7
9,Mỹ,4-3-3,1,2,3,13,5,8,4,6,21,24,10
9,Wales,3-4-3,1,5,6,4,14,10,15,3,11,20,8
10,Argentina,4-4-2,23,26,13,19,3,11,7,5,17,10,22
10,Ả Rập Xê-út,4-3-3,21,12,17,5,13,7,8,23,9,11,10
11,ĐT Đan Mạch,3-5-2,1,2,4,6,13,5,23,8,10,11,12
11,Tunisia,3-4-3,16,6,4,3,20,17,14,24,25,9,7
12,Mexico,4-3-3,13,19,3,15,23,16,4,24,22,20,10
12,Ba Lan,4-2-3-1,1,2,15,14,18,10,19,13,20,21,9
13,ĐT Pháp,4-2-3-1,1,2,24,18,21,8,14,11,7,10,9
13,Australia,4-3-3,1,3,19,4,16,22,13,14,7,15,23
14,Ma rốc,4-3-3,1,2,5,6,3,8,4,15,7,19,17
14,Croatia,4-3-3,1,22,6,20,19,10,11,8,13,9,4
15,ĐT Đức,4-2-3-1,1,15,2,23,3,6,21,10,13,14,7
15,Nhật Bản,4-4-2,12,19,4,22,5,14,6,17,11,15,25
16,ĐT Tây Ban Nha,4-3-3,23,2,16,24,18,9,5,26,11,10,21
16,Costa Rica,4-4-2,1,16,6,15,8,4,5,17,9,12,7
17,ĐT Bỉ,3-4-2-1,1,19,2,5,21,11,8,6,7,10,23
17,Canada,3-4-2-1,18,2,5,4,22,19,13,7,11,10,20
18,Thụy Sĩ,4-2-3-1,1,3,5,4,13,8,10,23,15,17,7
18,Cameroon,4-3-3,23,19,21,3,25,8,14,18,20,13,12
19,Uruguay,4-3-3,23,22,3,2,16,15,5,6,8,9,11
19,Hàn Quốc,4-2-3-1,1,15,4,19,3,6,5,17,10,7,16
20,ĐT Bồ Đào Nha,4-1-2-1-2,22,20,4,13,5,18,10,25,8,7,11
20,Ghana,5-3-2,1,26,18,23,4,17,5,21,20,10,10,19
21,Brazil,4-2-3-1,1,2,4,3,6,7,5,11,10,20,9
21,Serbia,3-5-1-1,23,4,5,2,14,25,20,8,16,10,9
22,Wales,3-5-2,1,5,6,4,14,3,10,15,8,11,13
22,Iran,4-4-2,24,23,19,8,5,17,21,6,3,20,9
23,Qatar,5-3-2,22,17,2,16,3,14,12,23,10,19,11
23,Senegal,4-4-2,16,21,3,22,14,18,6,5,15,19,9
24,ĐT Hà Lan,3-4-1-2,23,2,4,5,22,17,20,21,14,8,7
24,Ecuador,3-4-2-1,1,25,2,3,17,7,20,23,19,13,11
25,ĐT Anh,4-2-3-1,1,12,5,6,3,22,4,17,19,10,9
25,Mỹ,4-3-3,1,2,3,13,5,8,4,6,21,19,10
26,Tunisia,3-4-2-1,16,6,4,3,20,24,17,14,23,7,9
26,Australia,4-2-3-1,1,5,19,4,16,22,13,7,14,23,15
27,Ba Lan,4-4-1-1,1,2,15,14,18,20,10,6,24,7,9
27,Ả Rập Xê-út,4-3-3,21,12,4,5,6,16,8,23,9,11,10
28,ĐT Pháp,4-2-3-1,1,5,4,18,22,8,14,11,7,10,9
28,ĐT Đan Mạch,3-4-3,1,2,6,3,13,23,10,5,25,21,14
